step, delta_t, lamb_a, lamb_b, tmax, size, sims, fname, regime
0,1,1.3,52.5,71428.57142857143,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=4/Delta_t=1.00/Lambda_a=1.300/Lambda_b=52.50000000/Tmax=7.142857e+04/Size=50000/surv_prob.dat,inactive
1,1,1.3,53.75,142857.14285714287,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=4/Delta_t=1.00/Lambda_a=1.300/Lambda_b=53.75000000/Tmax=1.428571e+05/Size=50000/surv_prob.dat,active
2,1,1.3,53.125,214285.71428571432,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=4/Delta_t=1.00/Lambda_a=1.300/Lambda_b=53.12500000/Tmax=2.142857e+05/Size=50000/surv_prob.dat,active
3,1,1.3,52.8125,285714.28571428574,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=4/Delta_t=1.00/Lambda_a=1.300/Lambda_b=52.81250000/Tmax=2.857143e+05/Size=50000/surv_prob.dat,inactive
4,1,1.3,52.96875,357142.85714285716,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=4/Delta_t=1.00/Lambda_a=1.300/Lambda_b=52.96875000/Tmax=3.571429e+05/Size=50000/surv_prob.dat,inactive
5,1,1.3,53.046875,428571.42857142864,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=4/Delta_t=1.00/Lambda_a=1.300/Lambda_b=53.04687500/Tmax=4.285714e+05/Size=50000/surv_prob.dat,inactive
6,1,1.3,53.0859375,500000.00000000006,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=4/Delta_t=1.00/Lambda_a=1.300/Lambda_b=53.08593750/Tmax=5.000000e+05/Size=50000/surv_prob.dat,inactive
7,1,1.3,53.10546875,571428.5714285715,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=4/Delta_t=1.00/Lambda_a=1.300/Lambda_b=53.10546875/Tmax=5.714286e+05/Size=50000/surv_prob.dat,active
8,1,1.3,53.095703125,642857.142857143,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=4/Delta_t=1.00/Lambda_a=1.300/Lambda_b=53.09570312/Tmax=6.428571e+05/Size=50000/surv_prob.dat,active
9,1,1.3,53.0908203125,714285.7142857143,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=4/Delta_t=1.00/Lambda_a=1.300/Lambda_b=53.09082031/Tmax=7.142857e+05/Size=50000/surv_prob.dat,active
10,1,1.3,53.08837890625,785714.2857142858,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=4/Delta_t=1.00/Lambda_a=1.300/Lambda_b=53.08837891/Tmax=7.857143e+05/Size=50000/surv_prob.dat,active
11,1,1.3,53.087158203125,857142.8571428573,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=4/Delta_t=1.00/Lambda_a=1.300/Lambda_b=53.08715820/Tmax=8.571429e+05/Size=50000/surv_prob.dat,active
12,1,1.3,53.0865478515625,928571.4285714286,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=4/Delta_t=1.00/Lambda_a=1.300/Lambda_b=53.08654785/Tmax=9.285714e+05/Size=50000/surv_prob.dat,active
13,1,1.3,53.08624267578125,1000000.0,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=4/Delta_t=1.00/Lambda_a=1.300/Lambda_b=53.08624268/Tmax=1.000000e+06/Size=50000/surv_prob.dat,active
13,1,1.3,53.086090087890625,1000000.0,50000,50000,/home/ariel/Desktop/Mestrado/Aperiodic_CP/Aperiodic_Bissection/AbaxData/k=4/Delta_t=1.00/Lambda_a=1.300/Lambda_b=53.08609009/Tmax=1.000000e+06/Size=50000/surv_prob.dat,crit
